id,text,labels	﻿id,text,labels	tendency
----------
15923,"#WhoIsQ	15923,"#WhoIsQ	shit
#WheresTheServer	#WheresTheServer	How
#DumpNike	#DumpNike	wear
#DECLASFISA	#DECLASFISA	#RINOs
Democrats	Democrats	Democrats
Support	Support	seriously
Antifa,	Antifa,	beautiful
Muslim	Muslim	Muslim
Brotherhood,	Brotherhood,	whistle.
MS13,	MS13,	mastermind
ISIS,	ISIS,	83321,@USER
Pedophilia,	Pedophilia,	tortured""
Child	Child	left.
Trafficking,	Trafficking,	chokes
Taxpayer	Taxpayer	LITERALLY
Funded	Funded	occasionally
Abortion’s,	Abortion’s,	83932,"@USER
Election	Election	attacks
Fraud,	Fraud,	Thursday!
Sedition	Sedition	one!
And	And	And
Treason!!!	Treason!!!	impossible
#LockThemAllUp	#LockThemAllUp	#LockThemAllUp
#WWG1WGA	#WWG1WGA	#WWG1WGA
#QAnon	#QAnon	#QAnon
⁦@USER	⁦@USER	mistake.
URL",1	URL",1	URL",1
----------
27014,"#ConstitutionDay	27014,"#ConstitutionDay	send
is	is	is
revered	revered	Creepy
by	by	by
Conservatives,	Conservatives,	😳
hated	hated	hated
by	by	by
Progressives/Socialist/Democrats	Progressives/Socialist/Democrats	action.,0
that	that	that
want	want	want
to	to	to
change	change	change
it.",0	it.",0	Congress.
----------
30530,"#FOXNews	30530,"#FOXNews	VOTE
#NRA	#NRA	rant
#MAGA	#MAGA	#MAGA
#POTUS	#POTUS	#POTUS
#TRUMP	#TRUMP	pervert
#2ndAmendment	#2ndAmendment	told.
#RNC	#RNC	Glad
#USMC	#USMC	students.
#veterans	#veterans	54160,@USER
@USER	@USER	@USER
		
		
		
@USER	@USER	@USER
@USER	@USER	@USER
@USER	@USER	@USER
@USER	@USER	@USER
		
		
#fakereporting	#fakereporting	kick
#THESWAMP	#THESWAMP	whistle.
#dnc	#dnc	Fund”
#liberals	#liberals	#liberals
@USER	@USER	@USER
@USER	@USER	@USER
#fakeoutrage	#fakeoutrage	pervert
@USER	@USER	@USER
		
First,	First,	72467,Shop
it	it	it
reduces	reduces	.,1
the	the	the
ca	ca	#BigTech,0
URL",0	URL",0	URL",0
----------
13876,#Watching	13876,#Watching	National
#Boomer	#Boomer	crminal,
getting	getting	getting
the	the	the
news	news	news
that	that	that
she	she	she
is	is	is
still	still	still
up	up	up
for	for	for
parole	parole	students.
always	always	always
makes	makes	makes
me	me	me
smile.	smile.	NRA
#Wentworth	#Wentworth	old,1
Finale...@USER	Finale...@USER	old,1
is	is	is
such	such	such
a	a	a
treasure.	treasure.	#Satanists
URL,0	URL,0	URL,0
----------
60133,#NoPasaran:	60133,#NoPasaran:	together,1
Unity	Unity	#Satanists
demo	demo	community.
to	to	to
oppose	oppose	💀,0
the	the	the
far-right	far-right	Conservative
in	in	in
#London	#London	though
–	–	ball
#antifa	#antifa	#antifa
#Oct13	#Oct13	tolerance
—	—	—
Enough	Enough	fucking
is	is	is
Enough!	Enough!	tolerance
URL,1	URL,1	URL,1
----------
83681,.	83681,.	MPs
.	.	.
.	.	.
What	What	What
the	the	the
fuck	fuck	fuck
did	did	guys
he	he	he
do	do	do
this	this	this
time?,1	time?,1	“conservatives”
----------
96874,#RAP	96874,#RAP	racism
is	is	is
a	a	a
form	form	form
of	of	of
ART!	ART!	possible.
Used	Used	B
to	to	to
express	express	dems
yourself	yourself	yourself
freely.	freely.	Grow
It	It	It
does	does	does
not	not	not
gv	gv	stupid.
the	the	the
green	green	“conservatives”
light	light	light
or	or	or
excuse	excuse	ANTIFA,0
the	the	the
behavior	behavior	behavior
of	of	of
acting	acting	list
like	like	like
an	an	an
animal!	animal!	students.
She	She	She
is	is	is
not	not	not
in	in	in
the	the	the
streets	streets	streets
of	of	of
the	the	the
BX	BX	Can’t
where	where	where
violence	violence	violence
is	is	is
a	a	a
way	way	way
of	of	of
living.	living.	nightmares
Elevate	Elevate	massive
yourself	yourself	America
boo	boo	away.
and	and	and
get	get	get
on	on	on
@USER	@USER	@USER
level	level	continue
for	for	for
longevity!	longevity!	tortured""
#QUEEN👑,0	#QUEEN👑,0	whistle.
----------
65507,@USER	65507,@USER	BULLSHIT,1
Do	Do	Do
you	you	you
get	get	get
the	the	the
feeling	feeling	feeling
he	he	he
is	is	is
kissing	kissing	Pro
@USER	@USER	@USER
behind	behind	behind
so	so	so
he	he	he
can	can	can
humiliate	humiliate	students.
him	him	him
later?,1	later?,1	Scandals
----------
78910,5	78910,5	speaker
Tips	Tips	MASS
to	to	to
Enhance	Enhance	POLICE
Audience	Audience	flag""""",0
Connection	Connection	incapable
on	on	on
Facebook	Facebook	Facebook
URL	URL	URL
@USER	@USER	@USER
#socialmedia	#socialmedia	PM.
#smm	#smm	tolerance
URL,0	URL,0	URL,0
----------
46363,#BiggBossTamil	46363,#BiggBossTamil	11618,@USER
janani	janani	tolerance
won	won	have.
the	the	the
task.	task.	tolerance
She	She	She
is	is	is
going	going	going
to	to	to
first	first	first
final	final	cute,0
list👏👏👏👏,0	list👏👏👏👏,0	Scandals
----------
68123,#Conservatives	68123,#Conservatives	Swamp
-	-	-
the	the	the
party	party	party
of	of	of
low	low	hypocrisy
taxation	taxation	#God
😂	😂	😂
#Tories	#Tories	Harris
#Tory	#Tory	Country
URL,0	URL,0	URL,0
----------
22452,"𝓒-𝓒𝓮𝓭𝓻𝓪𝓷..	22452,"𝓒-𝓒𝓮𝓭𝓻𝓪𝓷..	11244,@USER
		
The	The	The
Nord	Nord	Really?""",0
cannot	cannot	cannot
make	make	make
a	a	a
single	single	town.
move,	move,	week,1
but	but	but
he	he	he
is	is	is
fully	fully	fully
aware	aware	think.
of	of	of
what	what	what
is	is	is
happening.	happening.	career
A	A	A
chill	chill	final
comes	comes	racism
down	down	down
his	his	his
spine	spine	applauding
as	as	as
a	a	a
ghostly,	ghostly,	demonRATs
rather.	rather.	#DrainTheDeepState""",1
.	.	.
.	.	.
calm	calm	disregard
female	female	female
voice	voice	voice
called	called	called
for	for	for
him	him	him
from	from	from
a	a	a
corner	corner	depends
of	of	of
the	the	the
room.	room.	division
		
Before	Before	Before
he	he	he
even	even	even
has	has	has
time	time	time
to	to	to
/attempt/	/attempt/	tolerance
a	a	a
response,	response,	basically
+",0	+",0	no#MAGA
----------
15565,#ConsTOO	15565,#ConsTOO	#WalkAway
THE	THE	THE
PLACE	PLACE	students.
FOR	FOR	FOR
FED	FED	Can’t
UP	UP	over
CONSERVATIVES	CONSERVATIVES	@
!!!,0	!!!,0	!!!,0
----------
64376,#GreatAwakening	64376,#GreatAwakening	over
#QAnon	#QAnon	#QAnon
#PatriotsUnited	#PatriotsUnited	solid
#WWG1WGA	#WWG1WGA	#WWG1WGA
#AreYouAwake	#AreYouAwake	proves
		
WHEN	WHEN	79915,@USER
YOU	YOU	YOU
ARE	ARE	ARE
AWAKE	AWAKE	Creepy
YOU	YOU	YOU
SEE	SEE	for
CLEARLY	CLEARLY	show
❤️🧡💛💚	❤️🧡💛💚	VIDEO
		
Check	Check	vote
out	out	out
this	this	this
video	video	video
URL	URL	URL
URL,0	URL,0	URL,0
----------
12588,@USER	12588,@USER	speaker
Nigga	Nigga	warning
ware	ware	#Satanists
da	da	Really?""",0
hits	hits	along
at,1	at,1	backbone
----------
34263,#StopKavanaugh	34263,#StopKavanaugh	Japan
he	he	he
is	is	is
liar	liar	liar
like	like	like
the	the	the
rest	rest	rest
of	of	of
the	the	the
#GOP	#GOP	nominated
URL,1	URL,1	URL,1
----------
65773,#Dayspromo	65773,#Dayspromo	status.
week	week	week
of	of	of
September	September	people,0
17th	17th	watchers
#days	#days	February
#dool	#dool	beautiful!
		
A	A	A
coma	coma	Congress.
does	does	does
things	things	things
to	to	to
a	a	a
gal	gal	person.
.	.	.
Sami:	Sami:	“conservatives”
You	You	You
are	are	are
going	going	going
to	to	to
be	be	be
ok.	ok.	Japan
Hattie:	Hattie:	winning’
No	No	No
thanks	thanks	thanks
to	to	to
you.	you.	you.
		
Get	Get	Get
her	her	her
out	out	out
of	of	of
here.	here.	here.
Before	Before	Before
she	she	she
finishes	finishes	refer
me	me	me
off.	off.	GET
		
Hattie	Hattie	Scandals
pretends	pretends	clinton
to	to	to
be	be	be
Marlena.	Marlena.	impossible
		
The	The	The
look	look	look
on	on	on
Kayla	Kayla	Clearly
face	face	mastermind
is	is	is
priceless.	priceless.	House.
URL,0	URL,0	URL,0
----------
95457,#BiggBossTelugu2	95457,#BiggBossTelugu2	here.
Let’s	Let’s	Let’s
all	all	all
include	include	Soros
@USER	@USER	@USER
in	in	in
all	all	all
our	our	our
tweets...he	tweets...he	students.
is	is	is
the	the	the
business	business	business
head	head	head
of	of	of
Star	Star	Conservative
Maa	Maa	grab
network..don’t	network..don’t	showing.
know	know	know
if	if	if
he	he	he
knows	knows	knows
about	about	about
biggboss	biggboss	impossible
team	team	team
and	and	and
host	host	mark
hurting	hurting	getting
audience	audience	Japan
emotions	emotions	ruin
		
#BiggBossTelugu2,0	#BiggBossTelugu2,0	Congress.
----------
24930,"#Dallas#Policewoman	24930,"#Dallas#Policewoman	mastermind
